date,stock_code,split,label_excess_ret_5d,pred_lstm,fit_start_date,fit_end_date,train_samples,val_samples,best_epoch,trained_epochs,best_score
2025-10-31,688133,test,-0.04496494,-0.00044279546,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-31,688147,test,0.015044497,-0.005090259,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-31,688528,test,-0.0011626126,0.0061252564,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-03,600025,test,-0.0048134737,0.0032032505,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-03,600051,test,0.025755486,0.000750795,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-03,600127,test,0.006031687,-0.00010905415,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-03,600153,test,0.040524237,-0.0024082437,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-03,600548,test,0.0030350676,0.0027460232,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-03,600865,test,0.022302903,-0.001989387,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-03,600967,test,-0.036022853,-0.0060593113,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-03,601222,test,0.04359693,-0.0022929758,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-03,603237,test,0.01398412,-0.0030554906,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-03,603335,test,0.0004058276,-0.0035940036,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-03,603341,test,-0.033095326,-0.0012562275,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-03,603658,test,0.018353386,-0.0015378967,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-03,605090,test,0.0205121,-0.0046173558,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-03,605589,test,-0.014163388,0.00091622025,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-03,688031,test,-0.07613424,-0.03337851,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-03,688045,test,-0.022101404,0.0005110353,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-03,688133,test,-0.011776841,0.0005880818,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-03,688147,test,0.02070448,-0.0030281618,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-03,688528,test,-0.017098695,0.0036299676,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-04,600025,test,-0.021424783,0.0031729713,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-04,600051,test,0.015594422,-0.00016949326,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-04,600127,test,0.002236133,-0.0010819212,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-04,600153,test,0.010181798,-0.008780934,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-04,600548,test,-0.014367229,0.003036715,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-04,600865,test,0.022792948,-0.0031412318,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-04,600967,test,-0.038184337,-0.005660087,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-04,601222,test,0.06222605,-0.0030578002,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-04,603237,test,0.018250838,-0.0024514347,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-04,603335,test,0.02600204,-0.0015370175,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-04,603341,test,-0.031969693,-0.0005654469,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-04,603658,test,0.012488109,-0.0023636743,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-04,605090,test,0.024303501,-0.0056235567,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-04,605589,test,0.008645605,0.0007812232,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
